week,mean,lo,hi,sim,method,Rt_true
47,1.1790866318392164,0.6204567964400127,2.140812287755793,2,NeuralSBI,0.17759628373777506
48,1.1987992948365305,0.6173534098831781,2.251392838735507,2,NeuralSBI,0.17776089509207918
49,1.225664809644073,0.6077775588318014,2.3929537977710984,2,NeuralSBI,0.1780109264679243
50,1.23921749489827,0.5919870896354403,2.5503736011213967,2,NeuralSBI,0.1783182571798556
51,1.261190899760733,0.575938377360279,2.7923689943811842,2,NeuralSBI,0.17865464830820682
4,1.3698192699160296,1.27421143103161,1.4688365850434846,3,EpiEstim,1.3334121994673103
5,2.444428221005697,2.334060500782481,2.557309683886414,3,EpiEstim,1.366172359575043
6,1.6932857180876757,1.6337679753094518,1.7538533874104374,3,EpiEstim,1.3972641102774448
7,1.973017756310529,1.9231749462721923,2.0234893439272903,3,EpiEstim,1.425560020221667
8,1.904433148301058,1.8692148063648395,1.9399756192225648,3,EpiEstim,1.4493347651685982
9,1.900000701679271,1.8742714306933164,1.9259029431604864,3,EpiEstim,1.4655314503843753
10,2.1049315870690437,2.085105616540893,2.1248500721594117,3,EpiEstim,1.4684952759422383
11,2.3922810368077263,2.3775701031652736,2.407036715252345,3,EpiEstim,1.4477057877179618
12,2.2648766414142285,2.255525084746319,2.2742472774069418,3,EpiEstim,1.3844436946295442
13,1.9747108322785465,1.9688515671627589,1.980578683040017,3,EpiEstim,1.2545666476074924
14,1.3788115295974908,1.375297814565508,1.3823296657101627,3,EpiEstim,1.051035353876036
15,1.432969612745516,1.429904921281252,1.4360375397656404,3,EpiEstim,0.8186702715485005
16,0.8138176213773239,0.8118785277648833,0.8157589960417664,3,EpiEstim,0.6293113537681118
17,0.7669218161949306,0.7648439034068191,0.7690025089419898,3,EpiEstim,0.5108501176484301
18,0.4161587479931263,0.4144202367512292,0.4179008480093695,3,EpiEstim,0.445443276259267
19,0.7573281319693115,0.7537760348479411,0.7608884637565092,3,EpiEstim,0.40856187829937807
20,0.7091023753942322,0.7051711817916834,0.7130443456506759,3,EpiEstim,0.38452484430293116
21,0.3844154377735814,0.3810041398138999,0.3878417291311029,3,EpiEstim,0.36562845967113033
22,0.4393130355481387,0.4335888899989811,0.4450741986056377,3,EpiEstim,0.3485636753772071
23,0.2818373950452064,0.275072350112125,0.2886834782915541,3,EpiEstim,0.3320864650471996
24,0.4711185086187318,0.4553219881830072,0.4871806312753608,3,EpiEstim,0.31587591036100465
25,0.5633842799494432,0.5386848361116267,0.5886295973923518,3,EpiEstim,0.29997868822398777
26,0.4894172771297943,0.4592511930572336,0.5205293183275027,3,EpiEstim,0.28455022613024494
27,0.2488605440749622,0.2190804718621483,0.2805107881070786,3,EpiEstim,0.26976525635407084
28,0.1665771477598363,0.121955408043169,0.2180478224457564,3,EpiEstim,0.2557755595484761
29,0.2487066790043798,0.1324258320202807,0.401022015692304,3,EpiEstim,0.24270422643022022
30,0.5249427460537763,0.2110542098081606,0.9793537364855596,3,EpiEstim,0.230644249262828
31,0.3121966556724665,0.0378084633671333,0.8697242166253627,3,EpiEstim,0.21966397959694622
32,1.4584362472887342,0.1766233956290859,4.062943339156003,3,EpiEstim,0.20981156357210254
33,0.8332499625885825,0.0210960625557344,3.0737586671342276,3,EpiEstim,0.20112137863078888
34,4.269170470126357,0.1080860382148596,15.748455233359053,3,EpiEstim,0.19361948553361583
35,4.999399926812642,0.1265738473837153,18.442183672917867,3,EpiEstim,0.1873292949686381
36,4.999999846492894,0.1265890360349859,18.44439670430047,3,EpiEstim,0.1822456229201654
37,5.0,0.1265890399214493,18.444397270569677,3,EpiEstim,0.17825136318747745
38,5.0,0.1265890399214493,18.444397270569677,3,EpiEstim,0.17522161833516242
39,5.0,0.1265890399214493,18.444397270569677,3,EpiEstim,0.17305187801969993
40,5.0,0.1265890399214493,18.444397270569677,3,EpiEstim,0.17165382176077662
41,5.0,0.1265890399214493,18.444397270569677,3,EpiEstim,0.17095188609320525
42,5.0,0.1265890399214493,18.444397270569677,3,EpiEstim,0.17088042038412707
43,5.0,0.1265890399214493,18.444397270569677,3,EpiEstim,0.17138129762404064
44,5.0,0.1265890399214493,18.444397270569677,3,EpiEstim,0.17240187872944981
45,5.0,0.1265890399214493,18.444397270569677,3,EpiEstim,0.17389325399969427
46,5.0,0.1265890399214493,18.444397270569677,3,EpiEstim,0.1758087052937848
47,5.0,0.1265890399214493,18.444397270569677,3,EpiEstim,0.178102348647588
48,5.0,0.1265890399214493,18.444397270569677,3,EpiEstim,0.18072793045644148
49,5.0,0.1265890399214493,18.444397270569677,3,EpiEstim,0.18363776172239182
50,5.0,0.1265890399214493,18.444397270569677,3,EpiEstim,0.1867817846926411
51,5.0,0.1265890399214493,18.444397270569677,3,EpiEstim,0.19010677478943871
52,5.0,0.1265890399214493,18.444397270569677,3,EpiEstim,0.19355568818451555
1,1.7212200954620471,1.46303708114274,1.979403109781354,3,POMP,1.2660385899873365
2,1.729507649812535,1.4700815023406548,1.9889337972844152,3,POMP,1.299815797451153
3,1.7144881201945117,1.4573149021653349,1.9716613382236885,3,POMP,1.3334121994673103
4,1.6781621729547602,1.4264378470115462,1.929886498897974,3,POMP,1.366172359575043
5,1.6232212251762277,1.3797380413997935,1.8667044089526617,3,POMP,1.3972641102774448
6,1.5527929746919331,1.3198740284881432,1.7857119208957228,3,POMP,1.425560020221667
7,1.4701882281611904,1.249659993937012,1.6907164623853688,3,POMP,1.4493347651685982
8,1.3786839993744693,1.1718813994682988,1.5854865992806395,3,POMP,1.4655314503843753
9,1.2813673018978995,1.0891622066132147,1.4735723971825845,3,POMP,1.4684952759422383
10,1.1810856542387058,1.0039228061029,1.3582485023745117,3,POMP,1.4477057877179618
11,1.0804368325013725,0.9183713076261666,1.2425023573765783,3,POMP,1.3844436946295442
12,0.9817936241715748,0.8345245805458384,1.1290626677973108,3,POMP,1.2545666476074924
13,0.8872278670563178,0.7541436869978702,1.0203120471147655,3,POMP,1.051035353876036
14,0.7983654401322732,0.6786106241124322,0.918120256152114,3,POMP,0.8186702715485005
15,0.7162669910288213,0.6088269423744981,0.8237070396831444,3,POMP,0.6293113537681118
16,0.6414096678858746,0.5451982177029934,0.7376211180687557,3,POMP,0.5108501176484301
17,0.573805405142163,0.4877345943708386,0.6598762159134874,3,POMP,0.445443276259267
18,0.5131781055326161,0.4362013897027237,0.5901548213625085,3,POMP,0.40856187829937807
19,0.4591152351333474,0.3902479498633452,0.5279825204033495,3,POMP,0.38452484430293116
20,0.4111433481563888,0.3494718459329304,0.4728148503798471,3,POMP,0.36562845967113033
21,0.3687835081881021,0.3134659819598868,0.4241010344163174,3,POMP,0.3485636753772071
22,0.3315649142656069,0.2818301771257659,0.3812996514054479,3,POMP,0.3320864650471996
23,0.2990284383266874,0.2541741725776842,0.3438827040756905,3,POMP,0.31587591036100465
24,0.2707321925798525,0.2301223636928746,0.3113420214668304,3,POMP,0.29997868822398777
25,0.2462586572842633,0.2093198586916238,0.2831974558769028,3,POMP,0.28455022613024494
26,0.2252213764056068,0.1914381699447657,0.2590045828664478,3,POMP,0.26976525635407084
27,0.2072703407149751,0.1761797896077288,0.2383608918222213,3,POMP,0.2557755595484761
28,0.1920955390740773,0.1632812082129657,0.2209098699351889,3,POMP,0.24270422643022022
29,0.1794292081885741,0.152514826960288,0.2063435894168602,3,POMP,0.230644249262828
30,0.1690471841511898,0.1436901065285113,0.1944042617738683,3,POMP,0.21966397959694622
31,0.160769950851597,0.1366544582238574,0.1848854434793365,3,POMP,0.20981156357210254
32,0.1544639562131891,0.1312943627812107,0.1776335496451675,3,POMP,0.20112137863078888
33,0.1500437693832328,0.1275372039757479,0.1725503347907177,3,POMP,0.19361948553361583
34,0.1474757163670133,0.1253543589119613,0.1695970738220653,3,POMP,0.1873292949686381
35,0.1467837569711409,0.1247661934254698,0.168801320516812,3,POMP,0.1822456229201654
36,0.1480018138262136,0.1258015417522816,0.1702020859001457,3,POMP,0.17825136318747745
37,0.1510072909463699,0.1283561973044144,0.1736583845883254,3,POMP,0.17522161833516242
38,0.1556733742298216,0.1323223680953484,0.1790243803642949,3,POMP,0.17305187801969993
39,0.161904906078028,0.1376191701663238,0.1861906419897322,3,POMP,0.17165382176077662
40,0.1696206139295073,0.1441775218400812,0.1950637060189333,3,POMP,0.17095188609320525
41,0.1787367710291422,0.1519262553747709,0.2055472866835135,3,POMP,0.17088042038412707
42,0.1891513931419786,0.1607786841706818,0.2175241021132754,3,POMP,0.17138129762404064
43,0.2007285945569709,0.1706193053734253,0.2308378837405165,3,POMP,0.17240187872944981
44,0.2132832305292656,0.1812907459498757,0.2452757151086554,3,POMP,0.17389325399969427
45,0.2265664748052985,0.1925815035845037,0.2605514460260933,3,POMP,0.1758087052937848
46,0.2402535199625807,0.2042154919681936,0.2762915479569678,3,POMP,0.178102348647588
47,0.2539351084519428,0.2158448421841514,0.2920253747197342,3,POMP,0.18072793045644148
48,0.2671150278819623,0.2270477736996679,0.3071822820642566,3,POMP,0.18363776172239182
49,0.2792159226193298,0.2373335342264303,0.3210983110122292,3,POMP,0.1867817846926411
50,0.2895956469662153,0.246156299921283,0.3330349940111476,3,POMP,0.19010677478943871
51,0.297575774103047,0.2529394079875899,0.342212140218504,3,POMP,0.19355568818451555
52,0.3024826799900833,0.2571102779915708,0.3478550819885957,3,POMP,0.19355568818451555
0,1.6203222309065608,1.2209105924575563,2.253926451709799,3,NeuralSBI,1.2326403687766276
1,1.6595328937601959,1.264946088717892,2.296570640609214,3,NeuralSBI,1.2660385899873365
2,1.6994779356881913,1.3094209773850742,2.3442873130335293,3,NeuralSBI,1.299815797451153
3,1.7397499064109532,1.3507027859728415,2.3920361760349182,3,NeuralSBI,1.3334121994673103
4,1.7742700625307903,1.3923183677142752,2.440456917781283,3,NeuralSBI,1.366172359575043
5,1.8170444229493057,1.4293289700840417,2.4762955491340444,3,NeuralSBI,1.3972641102774448
6,1.8533908419524008,1.4690595005870033,2.5269033141107227,3,NeuralSBI,1.425560020221667
7,1.8872414089905982,1.502941462005261,2.576470295162633,3,NeuralSBI,1.4493347651685982
8,1.922599917146064,1.5305675597690709,2.6087377221876586,3,NeuralSBI,1.4655314503843753
9,1.954982063414606,1.54747378444951,2.640429992831708,3,NeuralSBI,1.4684952759422383
10,1.9819092530010176,1.5719270994272296,2.6738194654237315,3,NeuralSBI,1.4477057877179618
